,행정구역,count,month,year
773,성내1동,"4,576",12,2015
774,성내2동,"4,732",12,2015
775,성내3동,"3,516",12,2015
776,대신동,"7,403",12,2015
777,남산1동,"5,129",12,2015
778,남산2동,"4,662",12,2015
779,남산3동,"7,469",12,2015
780,남산4동,"13,476",12,2015
781,대봉1동,"7,681",12,2015
782,대봉2동,"3,691",12,2015
783,동인동,"10,517",1,2016
784,삼덕동,"6,668",1,2016
785,성내1동,"4,565",1,2016
786,성내2동,"4,700",1,2016
787,성내3동,"3,513",1,2016
788,대신동,"7,387",1,2016
789,남산1동,"5,144",1,2016
790,남산2동,"4,651",1,2016
791,남산3동,"7,470",1,2016
792,남산4동,"13,473",1,2016
793,대봉1동,"7,936",1,2016
794,대봉2동,"3,632",1,2016
795,동인동,"10,504",2,2016
796,삼덕동,"6,658",2,2016
797,성내1동,"4,592",2,2016
798,성내2동,"4,708",2,2016
799,성내3동,"3,489",2,2016
800,대신동,"7,379",2,2016
801,남산1동,"5,127",2,2016
802,남산2동,"4,625",2,2016
803,남산3동,"7,436",2,2016
804,남산4동,"13,396",2,2016
805,대봉1동,"8,091",2,2016
806,대봉2동,"3,601",2,2016
807,동인동,"10,522",3,2016
808,삼덕동,"6,697",3,2016
809,성내1동,"4,596",3,2016
810,성내2동,"4,696",3,2016
811,성내3동,"3,469",3,2016
812,대신동,"7,397",3,2016
813,남산1동,"5,101",3,2016
