"시점","행정구역(구군)별(1)",인구수 (명),인구수 (명),인구수 (명),용도지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢),비도시지역 (㎢)
"시점","행정구역(구군)별(1)",소계,도시지역 인구수,비도시지역 인구수,소계,소계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,미지정,소계,계획관리지역,생산관리지역,보전관리지역,농림지역,자연환경 보전지역,자연환경 보전지역
"시점","행정구역(구군)별(1)",소계,소계,소계,소계,소계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,중심,일반,근린,유통,소계,전용,일반,준공업,소계,보전,생산,자연,소계,소계,소계,소계,소계,소계,소계,자연환경 보전지역 지정비율 (%)
"시점","행정구역(구군)별(1)",소계,소계,소계,소계,소계,소계,소계,제1종전용,제2종전용,소계,제1종일반,제2종일반,제3종일반,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"2013","달서구",618613,618613,-,62.34,62.34,20.88,0.00,0.00,-,19.60,4.35,7.27,7.97,1.28,2.44,0.97,1.01,0.46,-,11.38,-,9.90,1.47,27.64,0.03,0.11,27.50,-,-,-,-,-,-,-,-
"2013","달성군",188085,142996,45089,426.59,376.29,22.42,0.23,0.02,0.21,16.94,4.91,8.73,3.30,5.25,1.43,-,1.27,0.11,0.05,19.63,-,17.23,2.41,332.81,24.88,14.41,293.52,-,50.30,-,0.23,-,37.07,13.00,25.84
"2014","합계",2518467,2472189,46278,883.54,797.94,120.81,1.01,0.80,0.21,104.94,25.59,46.27,33.09,14.86,18.65,6.93,6.55,3.68,1.48,39.70,-,33.84,5.86,618.78,37.98,15.30,565.50,-,85.60,-,0.23,-,37.07,48.30,56.42
"2014","중구",79610,79610,-,7.06,7.06,3.38,-,-,-,2.94,0.07,1.31,1.56,0.44,3.12,2.77,-,0.35,-,-,-,-,-,0.56,-,-,0.56,-,-,-,-,-,-,-,-
"2014","동구",349619,349619,-,182.17,146.88,20.92,0.64,0.64,-,15.09,4.03,5.46,5.60,5.18,3.71,1.93,1.01,0.61,0.16,0.81,-,0.57,0.24,121.44,13.02,0.40,108.02,-,35.30,-,-,-,-,35.30,100.00
"2014","서구",213136,213136,-,17.33,17.33,7.62,-,-,-,7.12,0.18,5.40,1.54,0.49,1.29,0.00,0.68,0.61,-,4.08,-,3.63,0.45,4.34,-,-,4.34,-,-,-,-,-,-,-,-
"2014","남구",164483,164483,-,17.44,17.44,8.10,-,-,-,8.06,2.03,4.89,1.14,0.04,1.05,-,0.40,0.65,-,-,-,-,-,8.29,-,-,8.29,-,-,-,-,-,-,-,-
"2014","북구",449157,449157,-,94.08,94.08,19.23,0.13,0.13,-,17.66,3.27,7.83,6.56,1.44,3.68,0.81,1.40,0.30,1.16,3.81,-,2.52,1.29,67.36,0.05,0.10,67.21,-,-,-,-,-,-,-,-
"2014","수성구",457976,457976,-,76.47,76.47,18.27,-,-,-,17.53,6.75,5.37,5.41,0.74,1.93,0.45,0.78,0.59,0.11,-,-,-,-,56.27,-,0.29,55.98,-,-,-,-,-,-,-,-
"2014","달서구",615140,615140,-,62.34,62.34,20.88,0.00,0.00,-,19.60,4.35,7.27,7.97,1.28,2.44,0.97,1.01,0.46,-,11.37,-,9.90,1.47,27.65,0.03,0.11,27.51,-,-,-,-,-,-,-,-
"2014","달성군",189346,143068,46278,426.67,376.36,22.42,0.23,0.02,0.21,16.94,4.91,8.73,3.30,5.25,1.42,-,1.27,0.11,0.05,19.63,-,17.23,2.41,332.88,24.88,14.41,293.60,-,50.30,-,0.23,-,37.07,13.00,25.84
"2015","합계",2513970,2457256,56714,883.56,797.96,121.48,1.05,0.84,0.21,105.39,25.73,46.38,33.28,15.04,18.29,6.93,6.31,3.68,1.38,40.27,-,33.00,7.27,617.92,37.98,15.30,564.64,-,85.60,-,0.23,-,37.07,48.30,56.42
"2015","중구",81734,81734,-,7.06,7.06,3.38,-,-,-,2.94,0.07,1.32,1.55,0.44,3.12,2.77,-,0.35,-,-,-,-,-,0.56,-,-,0.56,-,-,-,-,-,-,-,-
